Date,Product,Stock,Demand,Daily_Usage,Cost_per_Order,Holding_Cost
2025-01-01,A,120,10,10,500,2
2025-01-01,B,200,5,5,500,2
2025-01-01,C,300,20,20,500,2
2025-01-02,A,115,12,12,500,2
2025-01-02,B,195,6,6,500,2
2025-01-02,C,280,22,22,500,2
2025-01-03,A,110,11,11,500,2
2025-01-03,B,190,7,7,500,2
2025-01-03,C,270,18,18,500,2
2025-01-04,A,105,13,13,500,2
2025-01-04,B,185,8,8,500,2
2025-01-04,C,260,25,25,500,2
2025-01-05,A,100,14,14,500,2
2025-01-05,B,180,9,9,500,2
2025-01-05,C,250,28,28,500,2
2025-01-06,A,95,16,16,500,2
2025-01-06,B,175,10,10,500,2
2025-01-06,C,240,30,30,500,2
2025-01-07,A,90,18,18,500,2
2025-01-07,B,170,12,12,500,2
2025-01-07,C,230,27,27,500,2
2025-01-08,A,85,20,20,500,2
2025-01-08,B,165,11,11,500,2
2025-01-08,C,220,24,24,500,2
2025-01-09,A,80,22,22,500,2
2025-01-09,B,160,13,13,500,2
2025-01-09,C,210,26,26,500,2
2025-01-10,A,75,19,19,500,2
2025-01-10,B,155,10,10,500,2
2025-01-10,C,200,29,29,500,2
2025-01-11,A,70,17,17,500,2
2025-01-11,B,150,12,12,500,2
2025-01-11,C,195,28,28,500,2
2025-01-12,A,65,15,15,500,2
2025-01-12,B,145,11,11,500,2
2025-01-12,C,190,25,25,500,2
2025-01-13,A,60,13,13,500,2
2025-01-13,B,140,9,9,500,2
2025-01-13,C,185,22,22,500,2
2025-01-14,A,55,14,14,500,2
2025-01-14,B,135,10,10,500,2
2025-01-14,C,180,24,24,500,2
2025-01-15,A,50,12,12,500,2
2025-01-15,B,130,8,8,500,2
2025-01-15,C,175,26,26,500,2
2025-01-16,A,45,10,10,500,2
2025-01-16,B,125,7,7,500,2
2025-01-16,C,170,28,28,500,2
2025-01-17,A,40,9,9,500,2
2025-01-17,B,120,6,6,500,2
2025-01-17,C,165,25,25,500,2
2025-01-18,A,35,11,11,500,2
2025-01-18,B,115,8,8,500,2
2025-01-18,C,160,27,27,500,2
2025-01-19,A,30,13,13,500,2
2025-01-19,B,110,9,9,500,2
2025-01-19,C,155,24,24,500,2
2025-01-20,A,25,12,12,500,2
2025-01-20,B,105,7,7,500,2
2025-01-20,C,150,22,22,500,2
2025-01-21,A,20,10,10,500,2
2025-01-21,B,100,6,6,500,2
2025-01-21,C,145,20,20,500,2
2025-01-22,A,18,11,11,500,2
2025-01-22,B,95,7,7,500,2
2025-01-22,C,140,19,19,500,2
2025-01-23,A,16,13,13,500,2
2025-01-23,B,90,8,8,500,2
2025-01-23,C,135,21,21,500,2
2025-01-24,A,14,12,12,500,2
2025-01-24,B,85,9,9,500,2
2025-01-24,C,130,23,23,500,2
2025-01-25,A,12,11,11,500,2
2025-01-25,B,80,10,10,500,2
2025-01-25,C,125,25,25,500,2
2025-01-26,A,10,12,12,500,2
2025-01-26,B,75,11,11,500,2
2025-01-26,C,120,26,26,500,2
2025-01-27,A,8,13,13,500,2
2025-01-27,B,70,9,9,500,2
2025-01-27,C,115,28,28,500,2
2025-01-28,A,6,12,12,500,2
2025-01-28,B,65,8,8,500,2
2025-01-28,C,110,27,27,500,2
2025-01-29,A,5,10,10,500,2
2025-01-29,B,60,7,7,500,2
2025-01-29,C,105,25,25,500,2
2025-01-30,A,3,11,11,500,2
2025-01-30,B,55,6,6,500,2
2025-01-30,C,100,24,24,500,2
